연도,지역코드,지역명,합계,광역정신건강복지센터 수,기초정신건강복지센터 수,중독관리통합지원센터 수,주간재활시설 수,공동생활가정 수,지역사회전환시설 수,직업재활시설 수,아동청소년정신건강지원시설 수,중독자재활시설 수,종합시설 수
2024,D03,용산구,2,0,1,0,0,0,0,1,0,0,0
2024,D11,노원구,6,0,1,1,2,2,0,0,0,0,0
2024,D12,은평구,8,0,1,0,1,5,1,0,0,0,0
2024,D16,강서구,8,0,1,0,1,4,0,1,0,0,1
2024,D09,강북구,4,0,1,1,1,1,0,0,0,0,0
2024,D06,동대문구,5,0,1,0,1,2,0,1,0,0,0
2024,D07,중랑구,7,0,1,0,1,4,0,0,1,0,0
2024,D20,동작구,2,0,1,0,0,0,0,0,1,0,0
2024,D22,서초구,4,0,1,0,2,0,0,0,1,0,0
2024,D15,양천구,8,0,1,0,1,6,0,0,0,0,0
2024,D10,도봉구,10,0,1,1,1,5,1,0,0,1,0
2024,C01,서울시,128,1,25,3,25,51,4,7,8,3,1
2024,D23,강남구,2,0,1,0,1,0,0,0,0,0,0
2024,D19,영등포구,5,0,1,0,2,0,0,1,1,0,0
2024,D21,관악구,6,0,1,0,2,3,0,0,0,0,0
2024,D25,강동구,5,0,1,0,1,2,1,0,0,0,0
2024,D18,금천구,3,0,1,0,0,2,0,0,0,0,0
2024,D17,구로구,8,0,1,0,1,5,0,1,0,0,0
2024,D14,마포구,5,0,1,0,2,0,0,0,0,2,0
2024,D13,서대문구,7,0,1,0,1,4,0,0,1,0,0
2024,D08,성북구,3,0,1,0,1,1,0,0,0,0,0
2024,D05,광진구,6,0,1,0,1,3,1,0,0,0,0
2024,D04,성동구,3,0,1,0,1,0,0,1,0,0,0
2024,D01,종로구,4,0,1,0,0,1,0,1,1,0,0
2024,D24,송파구,4,0,1,0,1,1,0,0,1,0,0
2024,D02,중구,2,0,1,0,0,0,0,0,1,0,0
2023,D13,서대문구,8,0,1,0,1,5,0,0,1,0,0
2023,D22,서초구,4,0,1,0,2,0,0,0,1,0,0
2023,D24,송파구,5,0,1,0,1,1,0,0,1,0,1
2023,D21,관악구,6,0,1,0,2,3,0,0,0,0,0
2023,D19,영등포구,5,0,1,0,2,0,0,1,1,0,0
2023,D17,구로구,6,0,1,0,1,3,0,1,0,0,0
2023,D15,양천구,7,0,1,0,1,5,0,0,0,0,0
2023,D07,중랑구,7,0,1,0,1,4,0,0,1,0,0
2023,D18,금천구,3,0,1,0,0,2,0,0,0,0,0
2023,D06,동대문구,5,0,1,0,1,2,0,1,0,0,0
2023,D20,동작구,2,0,1,0,0,0,0,0,1,0,0
2023,D25,강동구,5,0,1,0,1,2,1,0,0,0,0
2023,D14,마포구,5,0,1,0,2,0,0,0,0,2,0
2023,C01,서울시,126,1,25,3,25,48,4,7,8,3,2
2023,D02,중구,2,0,1,0,0,0,0,0,1,0,0
2023,D11,노원구,6,0,1,1,2,2,0,0,0,0,0
2023,D08,성북구,3,0,1,0,1,1,0,0,0,0,0
2023,D05,광진구,6,0,1,0,1,3,1,0,0,0,0
2023,D03,용산구,2,0,1,0,0,0,0,1,0,0,0
2023,D12,은평구,8,0,1,0,1,5,1,0,0,0,0
2023,D09,강북구,4,0,1,1,1,1,0,0,0,0,0
2023,D04,성동구,3,0,1,0,1,0,0,1,0,0,0
2023,D10,도봉구,9,0,1,1,1,4,1,0,0,1,0
2023,D01,종로구,4,0,1,0,0,1,0,1,1,0,0
2023,D23,강남구,2,0,1,0,1,0,0,0,0,0,0
2023,D16,강서구,8,0,1,0,1,4,0,1,0,0,1
2022,D01,종로구,4,0,1,0,0,1,0,1,1,0,0
2022,C01,서울시,126,1,25,3,25,48,4,7,8,3,2
2022,D08,성북구,3,0,1,0,1,1,0,0,0,0,0
2022,D11,노원구,6,0,1,1,2,2,0,0,0,0,0
2022,D19,영등포구,5,0,1,0,2,0,0,1,1,0,0
2022,D20,동작구,2,0,1,0,0,0,0,0,1,0,0
2022,D24,송파구,5,0,1,0,1,1,0,0,1,0,1
2022,D09,강북구,4,0,1,1,1,1,0,0,0,0,0
2022,D15,양천구,7,0,1,0,1,5,0,0,0,0,0
2022,D16,강서구,8,0,1,0,1,4,0,1,0,0,1
2022,D23,강남구,2,0,1,0,1,0,0,0,0,0,0
2022,D25,강동구,5,0,1,0,1,2,1,0,0,0,0
2022,D02,중구,2,0,1,0,0,0,0,0,1,0,0
2022,D03,용산구,2,0,1,0,0,0,0,1,0,0,0
2022,D07,중랑구,7,0,1,0,1,4,0,0,1,0,0
2022,D10,도봉구,9,0,1,1,1,4,1,0,0,1,0
2022,D14,마포구,5,0,1,0,2,0,0,0,0,2,0
2022,D17,구로구,6,0,1,0,1,3,0,1,0,0,0
2022,D21,관악구,6,0,1,0,2,3,0,0,0,0,0
2022,D06,동대문구,5,0,1,0,1,2,0,1,0,0,0
