연도,지역코드,지역명,주민등록인구,추계중증정신질환자수,정신건강복지센터 등록  중증정신질환자수,추계중증정신질환자수 대비 정신건강복지센터 등록 중증정신질환자
2024,C01,서울시,9331828,93318,5215,5.6
2024,D01,종로구,138336,1383,170,12.3
2024,D02,중구,120544,1205,127,10.5
2024,D03,용산구,203854,2039,123,6.0
2024,D04,성동구,273669,2737,177,6.5
2024,D05,광진구,331963,3320,171,5.2
2024,D06,동대문구,338735,3387,198,5.8
2024,D07,중랑구,379274,3793,260,6.9
2024,D08,성북구,421560,4216,298,7.1
2024,D09,강북구,283597,2836,231,8.1
2024,D10,도봉구,303228,3032,244,8.0
2024,D11,노원구,491247,4912,246,5.0
2024,D12,은평구,460919,4609,198,4.3
2024,D13,서대문구,302853,3029,193,6.4
2024,D14,마포구,361417,3614,343,9.5
2024,D15,양천구,430976,4310,185,4.3
2024,D16,강서구,556171,5562,182,3.3
2024,D17,구로구,388169,3882,228,5.9
2024,D18,금천구,225159,2252,180,8.0
2024,D19,영등포구,373773,3738,179,4.8
2024,D20,동작구,375799,3758,177,4.7
2024,D21,관악구,477812,4778,216,4.5
2024,D22,서초구,408376,4084,243,6.0
2024,D23,강남구,557345,5573,287,5.1
2024,D24,송파구,650110,6501,210,3.2
2024,D25,강동구,476942,4769,149,3.1
2023,C01,서울시,9386034,93860,5174,5.5
2023,D01,종로구,139417,1394,175,12.6
2023,D02,중구,121312,1213,123,10.1
2023,D03,용산구,213151,2132,123,5.8
2023,D04,성동구,277361,2774,177,6.4
2023,D05,광진구,335554,3356,175,5.2
2023,D06,동대문구,341149,3411,232,6.8
2023,D07,중랑구,382155,3822,250,6.5
2023,D08,성북구,425602,4256,328,7.7
2023,D09,강북구,288113,2881,223,7.7
2023,D10,도봉구,306948,3069,234,7.6
2023,D11,노원구,498213,4982,190,3.8
2023,D12,은평구,466770,4668,218,4.7
2023,D13,서대문구,306231,3062,205,6.7
2023,D14,마포구,363697,3637,364,10.0
2023,D15,양천구,436028,4360,205,4.7
2023,D16,강서구,563058,5631,191,3.4
2023,D17,구로구,392405,3924,251,6.4
2023,D18,금천구,227481,2275,194,8.5
2023,D19,영등포구,374794,3748,183,4.9
2023,D20,동작구,378769,3788,157,4.1
2023,D21,관악구,481956,4820,183,3.8
2023,D22,서초구,407664,4077,238,5.8
2023,D23,강남구,544873,5449,188,3.5
2023,D24,송파구,654166,6542,210,3.2
2023,D25,강동구,459167,4592,157,3.4
2022,C01,서울시,9428372,94284,5477,5.8
2022,D01,종로구,141379,1414,210,14.9
2022,D02,중구,120437,1204,131,10.9
2022,D03,용산구,218650,2187,140,6.4
2022,D04,성동구,281000,2810,179,6.4
2022,D05,광진구,337416,3374,159,4.7
2022,D06,동대문구,336644,3366,233,6.9
2022,D07,중랑구,385318,3853,270,7.0
2022,D08,성북구,430397,4304,307,7.1
2022,D09,강북구,293660,2937,236,8.0
2022,D10,도봉구,311694,3117,293,9.4
2022,D11,노원구,503734,5037,196,3.9
2022,D12,은평구,466746,4667,253,5.4
2022,D13,서대문구,306337,3063,204,6.7
2022,D14,마포구,364638,3646,242,6.6
2022,D15,양천구,440881,4409,238,5.4
2022,D16,강서구,569166,5692,222,3.9
2022,D17,구로구,395315,3953,291,7.4
2022,D18,금천구,229642,2296,206,9.0
2022,D19,영등포구,375675,3757,230,6.1
2022,D20,동작구,380596,3806,210,5.5
2022,D21,관악구,486752,4868,223,4.6
2022,D22,서초구,404325,4043,222,5.5
2022,D23,강남구,529102,5291,215,4.1
2022,D24,송파구,658801,6588,215,3.3
2022,D25,강동구,460067,4601,152,3.3
2021,C01,서울시,9509458,95095,5609,5.9
2021,D01,종로구,144683,1447,198,13.7
2021,D02,중구,122499,1225,136,11.1
2021,D03,용산구,222953,2230,152,6.8
2021,D04,성동구,285990,2860,193,6.7
2021,D05,광진구,339996,3400,156,4.6
2021,D06,동대문구,337400,3374,221,6.6
2021,D07,중랑구,387350,3874,260,6.7
2021,D08,성북구,430528,4305,312,7.2
2021,D09,강북구,299182,2992,223,7.5
2021,D10,도봉구,317366,3174,301,9.5
2021,D11,노원구,510956,5110,246,4.8
2021,D12,은평구,473307,4733,297,6.3
2021,D13,서대문구,304819,3048,192,6.3
2021,D14,마포구,368905,3689,241,6.5
2021,D15,양천구,447302,4473,222,5.0
2021,D16,강서구,574315,5743,365,6.4
2021,D17,구로구,396754,3968,256,6.5
