주상병코드,진료년도,가입자구분,성별,연령,진료실인원(명),진료건수(건),총진료비(천원)
F00-F09,2010년,지역,남자,0-4세,27,31,2049
F00-F09,2010년,지역,남자,5-9세,43,77,5605
F00-F09,2010년,지역,남자,10-14세,82,261,18678
F00-F09,2010년,지역,남자,15-19세,159,407,38788
F00-F09,2010년,지역,남자,20-24세,181,638,84044
F00-F09,2010년,지역,남자,25-29세,236,897,238417
F00-F09,2010년,지역,남자,30-34세,305,1212,259404
F00-F09,2010년,지역,남자,35-39세,446,1473,541388
F00-F09,2010년,지역,남자,40-44세,601,2171,763366
F00-F09,2010년,지역,남자,45-49세,811,2921,1083172
F00-F09,2010년,지역,남자,50-54세,1273,4735,2233769
F00-F09,2010년,지역,남자,55-59세,1393,5148,2638606
F00-F09,2010년,지역,남자,60-64세,2116,7907,3814419
F00-F09,2010년,지역,남자,65세 이상,20743,88629,38711334
F00-F09,2010년,지역,여자,0-4세,35,44,2989
F00-F09,2010년,지역,여자,5-9세,24,36,2543
F00-F09,2010년,지역,여자,10-14세,54,121,11187
F00-F09,2010년,지역,여자,15-19세,60,223,11584
F00-F09,2010년,지역,여자,20-24세,97,298,76929
F00-F09,2010년,지역,여자,25-29세,137,434,78979
F00-F09,2010년,지역,여자,30-34세,181,548,105690
F00-F09,2010년,지역,여자,35-39세,259,754,114020
F00-F09,2010년,지역,여자,40-44세,405,996,207025
F00-F09,2010년,지역,여자,45-49세,731,1840,329782
F00-F09,2010년,지역,여자,50-54세,1241,3425,648871
F00-F09,2010년,지역,여자,55-59세,1609,4614,1030719
F00-F09,2010년,지역,여자,60-64세,2584,8016,1584268
F00-F09,2010년,지역,여자,65세 이상,50795,239210,133530425
F00-F09,2010년,직장,남자,0-4세,148,159,10057
F00-F09,2010년,직장,남자,5-9세,125,218,22297
F00-F09,2010년,직장,남자,10-14세,153,301,29654
F00-F09,2010년,직장,남자,15-19세,247,724,58864
F00-F09,2010년,직장,남자,20-24세,260,816,133402
F00-F09,2010년,직장,남자,25-29세,334,1062,151360
F00-F09,2010년,직장,남자,30-34세,382,1413,233908
F00-F09,2010년,직장,남자,35-39세,440,1491,248673
F00-F09,2010년,직장,남자,40-44세,494,1750,273143
F00-F09,2010년,직장,남자,45-49세,658,2149,579230
F00-F09,2010년,직장,남자,50-54세,1335,4367,1447834
F00-F09,2010년,직장,남자,55-59세,2084,7940,3019453
F00-F09,2010년,직장,남자,60-64세,3836,14977,5756064
F00-F09,2010년,직장,남자,65세 이상,46435,209569,85728696
F00-F09,2010년,직장,여자,0-4세,112,123,12052
F00-F09,2010년,직장,여자,5-9세,69,114,9164
F00-F09,2010년,직장,여자,10-14세,79,172,9844
F00-F09,2010년,직장,여자,15-19세,103,299,24530
F00-F09,2010년,직장,여자,20-24세,163,418,65347
F00-F09,2010년,직장,여자,25-29세,248,581,68419
F00-F09,2010년,직장,여자,30-34세,272,719,103000
F00-F09,2010년,직장,여자,35-39세,369,850,90686
F00-F09,2010년,직장,여자,40-44세,487,1219,145490
F00-F09,2010년,직장,여자,45-49세,869,2050,262937
F00-F09,2010년,직장,여자,50-54세,1794,4307,640405
F00-F09,2010년,직장,여자,55-59세,2791,8061,1460486
F00-F09,2010년,직장,여자,60-64세,4852,15636,3210904
F00-F09,2010년,직장,여자,65세 이상,101973,499354,267539742
F00-F09,2011년,지역,남자,0-4세,88,110,8224
F00-F09,2011년,지역,남자,5-9세,71,158,12689
F00-F09,2011년,지역,남자,10-14세,120,271,18055
F00-F09,2011년,지역,남자,15-19세,157,458,87822
F00-F09,2011년,지역,남자,20-24세,187,801,108305
F00-F09,2011년,지역,남자,25-29세,221,938,299885
F00-F09,2011년,지역,남자,30-34세,329,1237,199432
F00-F09,2011년,지역,남자,35-39세,425,1563,475581
F00-F09,2011년,지역,남자,40-44세,649,2556,868790
F00-F09,2011년,지역,남자,45-49세,835,3096,1313875
F00-F09,2011년,지역,남자,50-54세,1436,5585,2736235
F00-F09,2011년,지역,남자,55-59세,1759,6346,3352358
F00-F09,2011년,지역,남자,60-64세,2343,8953,4510185
F00-F09,2011년,지역,남자,65세 이상,24740,110770,47151997
F00-F09,2011년,지역,여자,0-4세,52,67,3974
F00-F09,2011년,지역,여자,5-9세,50,74,5252
F00-F09,2011년,지역,여자,10-14세,48,98,5361
F00-F09,2011년,지역,여자,15-19세,77,252,16820
F00-F09,2011년,지역,여자,20-24세,120,320,73048
F00-F09,2011년,지역,여자,25-29세,128,406,67346
F00-F09,2011년,지역,여자,30-34세,187,628,136534
F00-F09,2011년,지역,여자,35-39세,270,650,122833
F00-F09,2011년,지역,여자,40-44세,431,1221,118199
F00-F09,2011년,지역,여자,45-49세,712,1789,331641
F00-F09,2011년,지역,여자,50-54세,1589,4132,624877
F00-F09,2011년,지역,여자,55-59세,2076,5978,977235
F00-F09,2011년,지역,여자,60-64세,2887,9339,1997023
F00-F09,2011년,지역,여자,65세 이상,61873,301868,164093352
F00-F09,2011년,직장,남자,0-4세,231,380,22424
F00-F09,2011년,직장,남자,5-9세,160,243,16426
F00-F09,2011년,직장,남자,10-14세,212,426,29608
F00-F09,2011년,직장,남자,15-19세,277,780,92035
F00-F09,2011년,직장,남자,20-24세,304,1081,184684
F00-F09,2011년,직장,남자,25-29세,343,1096,218866
F00-F09,2011년,직장,남자,30-34세,406,1509,346728
F00-F09,2011년,직장,남자,35-39세,444,1445,278097
F00-F09,2011년,직장,남자,40-44세,604,1874,332412
F00-F09,2011년,직장,남자,45-49세,688,2219,443055
F00-F09,2011년,직장,남자,50-54세,1474,5010,1653923
F00-F09,2011년,직장,남자,55-59세,2454,9202,3206841
F00-F09,2011년,직장,남자,60-64세,4226,16469,5823716
F00-F09,2011년,직장,남자,65세 이상,56666,268693,104979969
F00-F09,2011년,직장,여자,0-4세,195,233,13530
F00-F09,2011년,직장,여자,5-9세,83,126,6656
F00-F09,2011년,직장,여자,10-14세,82,193,18348
F00-F09,2011년,직장,여자,15-19세,122,336,35320
F00-F09,2011년,직장,여자,20-24세,171,395,62983
F00-F09,2011년,직장,여자,25-29세,266,753,83898
F00-F09,2011년,직장,여자,30-34세,283,786,98384
F00-F09,2011년,직장,여자,35-39세,344,815,96085
F00-F09,2011년,직장,여자,40-44세,565,1362,173510
F00-F09,2011년,직장,여자,45-49세,922,2095,281711
F00-F09,2011년,직장,여자,50-54세,2138,5607,732109
F00-F09,2011년,직장,여자,55-59세,3467,10286,1626997
F00-F09,2011년,직장,여자,60-64세,5897,20171,3917716
F00-F09,2011년,직장,여자,65세 이상,127474,652555,336410270
F00-F09,2012년,지역,남자,0-4세,57,64,3597
F00-F09,2012년,지역,남자,5-9세,48,125,7780
F00-F09,2012년,지역,남자,10-14세,86,206,13710
F00-F09,2012년,지역,남자,15-19세,149,368,36972
F00-F09,2012년,지역,남자,20-24세,197,969,124375
F00-F09,2012년,지역,남자,25-29세,226,1072,231415
F00-F09,2012년,지역,남자,30-34세,318,1432,295506
F00-F09,2012년,지역,남자,35-39세,380,1629,433273
F00-F09,2012년,지역,남자,40-44세,633,2698,928042
F00-F09,2012년,지역,남자,45-49세,871,3471,1339826
F00-F09,2012년,지역,남자,50-54세,1499,5671,2815831
F00-F09,2012년,지역,남자,55-59세,1911,7472,3969200
F00-F09,2012년,지역,남자,60-64세,2522,10551,5021408
F00-F09,2012년,지역,남자,65세 이상,28627,138874,55781720
F00-F09,2012년,지역,여자,0-4세,44,53,2716
F00-F09,2012년,지역,여자,5-9세,30,50,2242
F00-F09,2012년,지역,여자,10-14세,41,76,19720
F00-F09,2012년,지역,여자,15-19세,69,176,12289
F00-F09,2012년,지역,여자,20-24세,97,405,74144
F00-F09,2012년,지역,여자,25-29세,136,460,77174
F00-F09,2012년,지역,여자,30-34세,216,669,116288
F00-F09,2012년,지역,여자,35-39세,300,925,169838
F00-F09,2012년,지역,여자,40-44세,491,1455,173609
F00-F09,2012년,지역,여자,45-49세,877,2306,394665
F00-F09,2012년,지역,여자,50-54세,2087,5650,785033
F00-F09,2012년,지역,여자,55-59세,2693,7707,1136771
F00-F09,2012년,지역,여자,60-64세,3600,12066,2305826
F00-F09,2012년,지역,여자,65세 이상,73736,388479,201028162
F00-F09,2012년,직장,남자,0-4세,244,414,20845
F00-F09,2012년,직장,남자,5-9세,155,241,14807
F00-F09,2012년,직장,남자,10-14세,186,535,33518
F00-F09,2012년,직장,남자,15-19세,267,760,70590
F00-F09,2012년,직장,남자,20-24세,338,1189,172204
F00-F09,2012년,직장,남자,25-29세,350,1162,158533
F00-F09,2012년,직장,남자,30-34세,428,1535,253988
F00-F09,2012년,직장,남자,35-39세,490,1895,342018
F00-F09,2012년,직장,남자,40-44세,581,2030,336346
F00-F09,2012년,직장,남자,45-49세,791,2658,476854
F00-F09,2012년,직장,남자,50-54세,1698,6132,1651590
F00-F09,2012년,직장,남자,55-59세,2753,10615,3596305
F00-F09,2012년,직장,남자,60-64세,4686,19719,6804078
F00-F09,2012년,직장,남자,65세 이상,67583,346365,127492955
F00-F09,2012년,직장,여자,0-4세,174,212,9943
F00-F09,2012년,직장,여자,5-9세,84,171,7840
F00-F09,2012년,직장,여자,10-14세,90,291,16228
F00-F09,2012년,직장,여자,15-19세,140,359,29884
F00-F09,2012년,직장,여자,20-24세,181,411,44422
F00-F09,2012년,직장,여자,25-29세,301,920,94619
F00-F09,2012년,직장,여자,30-34세,325,865,105320
F00-F09,2012년,직장,여자,35-39세,408,1263,108388
F00-F09,2012년,직장,여자,40-44세,634,1665,153880
F00-F09,2012년,직장,여자,45-49세,1128,2830,270614
F00-F09,2012년,직장,여자,50-54세,3000,8214,828594
F00-F09,2012년,직장,여자,55-59세,4677,14391,1739271
F00-F09,2012년,직장,여자,60-64세,7300,25144,4001433
F00-F09,2012년,직장,여자,65세 이상,154990,862155,421206536
F00-F09,2013년,지역,남자,0-4세,56,59,2575
F00-F09,2013년,지역,남자,5-9세,57,82,5809
F00-F09,2013년,지역,남자,10-14세,78,176,18466
F00-F09,2013년,지역,남자,15-19세,133,436,38519
F00-F09,2013년,지역,남자,20-24세,188,707,100185
F00-F09,2013년,지역,남자,25-29세,198,716,163998
F00-F09,2013년,지역,남자,30-34세,325,1532,355714
F00-F09,2013년,지역,남자,35-39세,374,1661,549005
F00-F09,2013년,지역,남자,40-44세,610,2545,891942
F00-F09,2013년,지역,남자,45-49세,854,3409,1371266
F00-F09,2013년,지역,남자,50-54세,1453,5564,2801746
F00-F09,2013년,지역,남자,55-59세,2091,8157,4274498
F00-F09,2013년,지역,남자,60-64세,2821,11054,5407722
F00-F09,2013년,지역,남자,65세 이상,32647,156691,65098281
F00-F09,2013년,지역,여자,0-4세,55,61,8458
F00-F09,2013년,지역,여자,5-9세,22,29,2213
F00-F09,2013년,지역,여자,10-14세,24,85,12292
F00-F09,2013년,지역,여자,15-19세,60,193,41310
F00-F09,2013년,지역,여자,20-24세,91,371,82590
F00-F09,2013년,지역,여자,25-29세,130,425,73419
F00-F09,2013년,지역,여자,30-34세,201,609,132398
F00-F09,2013년,지역,여자,35-39세,254,891,177803
F00-F09,2013년,지역,여자,40-44세,503,1566,227290
F00-F09,2013년,지역,여자,45-49세,1017,2545,413189
F00-F09,2013년,지역,여자,50-54세,2194,5686,799365
F00-F09,2013년,지역,여자,55-59세,3268,9267,1435507
F00-F09,2013년,지역,여자,60-64세,4214,14128,2432882
F00-F09,2013년,지역,여자,65세 이상,84053,447456,236193121
F00-F09,2013년,직장,남자,0-4세,255,284,15960
F00-F09,2013년,직장,남자,5-9세,149,431,22356
F00-F09,2013년,직장,남자,10-14세,159,352,19106
F00-F09,2013년,직장,남자,15-19세,236,907,78541
F00-F09,2013년,직장,남자,20-24세,311,1118,165232
F00-F09,2013년,직장,남자,25-29세,332,1113,150540
F00-F09,2013년,직장,남자,30-34세,468,1582,177515
F00-F09,2013년,직장,남자,35-39세,464,1801,283246
F00-F09,2013년,직장,남자,40-44세,627,2149,366496
F00-F09,2013년,직장,남자,45-49세,863,2989,659019
F00-F09,2013년,직장,남자,50-54세,1732,6120,1911851
F00-F09,2013년,직장,남자,55-59세,3152,11990,4128021
